age,education-num,hours-per-week,income
30,13,50, >50K
37,9,40, <=50K
31,9,55, >50K
40,10,49, <=50K
46,10,45, <=50K
36,9,40, <=50K
63,9,25, <=50K
48,9,40, <=50K
41,9,40, <=50K
41,12,50, <=50K
25,14,43, <=50K
61,9,40, <=50K
27,9,8, <=50K
35,9,42, >50K
45,13,60, <=50K
36,9,40, <=50K
18,7,7, <=50K
37,4,50, <=50K
31,9,40, <=50K
44,15,45, >50K
34,10,40, >50K
21,10,50, <=50K
50,14,40, >50K
29,10,40, <=50K
42,9,45, <=50K
67,16,50, >50K
35,9,40, <=50K
63,5,40, <=50K
32,11,40, <=50K
78,14,15, <=50K
20,8,40, <=50K
27,10,40, <=50K
22,10,40, <=50K
62,14,35, <=50K
24,13,35, <=50K
53,7,48, >50K
25,10,40, <=50K
58,13,70, >50K
41,10,65, >50K
23,9,40, <=50K
27,7,35, <=50K
61,5,25, <=50K
37,9,55, <=50K
71,13,45, >50K
29,10,40, <=50K
66,9,18, <=50K
50,9,40, <=50K
47,10,35, <=50K
35,13,50, >50K
43,13,35, <=50K
53,9,48, <=50K
44,12,60, >50K
38,9,60, <=50K
57,10,75, <=50K
40,9,45, >50K
19,9,40, <=50K
43,11,40, <=50K
40,13,40, >50K
52,9,8, <=50K
32,6,40, <=50K
27,9,45, <=50K
31,10,40, <=50K
30,9,40, <=50K
43,15,50, <=50K
46,13,48, >50K
39,9,40, >50K
41,10,48, >50K
48,13,40, >50K
17,7,40, <=50K
55,9,50, >50K
35,13,35, >50K
52,4,40, <=50K
46,13,25, >50K
40,10,40, >50K
37,13,50, >50K
21,10,40, <=50K
40,9,46, >50K
21,10,9, <=50K
55,10,20, <=50K
67,10,40, <=50K
62,9,48, <=50K
25,9,40, <=50K
36,5,40, <=50K
64,5,40, <=50K
25,10,40, <=50K
63,12,35, <=50K
30,9,40, <=50K
38,13,55, >50K
44,9,60, >50K
35,9,40, <=50K
25,10,60, <=50K
22,13,40, <=50K
48,13,40, <=50K
17,7,15, <=50K
22,10,10, <=50K
32,14,20, <=50K
40,13,40, >50K
23,9,40, <=50K
29,9,40, <=50K
17,6,30, <=50K
74,6,30, <=50K
23,9,40, >50K
56,13,40, >50K
27,10,45, >50K
42,10,72, >50K
42,9,35, <=50K
35,14,60, <=50K
51,14,55, >50K
62,11,50, >50K
50,10,40, <=50K
64,9,40, >50K
18,10,15, <=50K
47,9,40, <=50K
78,13,40, >50K
18,10,30, <=50K
82,6,20, <=50K
18,10,25, <=50K
44,6,35, <=50K
42,9,40, >50K
21,10,20, <=50K
33,10,40, >50K
35,10,50, >50K
20,10,25, <=50K
28,9,30, <=50K
60,4,40, >50K
51,10,40, >50K
30,9,65, >50K
20,9,40, <=50K
68,11,40, <=50K
24,13,40, <=50K
77,9,15, <=50K
31,9,40, <=50K
40,10,40, <=50K
29,9,50, <=50K
64,9,24, <=50K
29,10,40, <=50K
49,14,40, >50K
52,11,60, <=50K
28,9,40, <=50K
53,13,40, >50K
46,13,40, <=50K
37,10,47, <=50K
42,14,60, >50K
25,10,50, <=50K
34,10,60, <=50K
32,10,54, <=50K
22,10,40, <=50K
46,10,48, >50K
22,9,20, <=50K
44,9,55, <=50K
47,14,50, >50K
45,13,55, >50K
56,9,40, <=50K
35,13,40, <=50K
60,9,40, >50K
25,9,40, <=50K
49,11,60, >50K
34,14,40, <=50K
38,6,45, <=50K
30,10,10, <=50K
20,9,70, <=50K
58,13,45, >50K
18,7,20, <=50K
45,9,60, >50K
23,9,40, <=50K
20,10,25, <=50K
52,12,40, >50K
70,11,35, <=50K
36,9,40, <=50K
27,10,50, <=50K
47,15,55, >50K
30,9,30, <=50K
48,10,30, <=50K
76,9,13, <=50K
37,9,50, <=50K
35,12,40, <=50K
52,9,50, >50K
46,11,40, <=50K
49,14,43, >50K
57,13,40, <=50K
41,11,70, >50K
63,6,40, <=50K
67,10,70, <=50K
26,13,50, <=50K
28,9,60, <=50K
20,12,40, <=50K
52,13,40, >50K
48,9,60, >50K
58,14,40, >50K
52,9,43, <=50K
34,14,50, <=50K
33,9,40, <=50K
25,10,50, <=50K
18,6,20, <=50K
44,9,96, <=50K
67,9,20, <=50K
44,10,38, <=50K
20,10,30, <=50K
26,9,50, <=50K
63,9,24, <=50K
61,4,40, >50K
41,10,32, <=50K
47,13,45, <=50K
59,4,40, <=50K
34,9,40, <=50K
39,9,40, <=50K
47,9,40, >50K
23,10,40, <=50K
29,9,40, >50K
26,10,40, <=50K
39,10,40, <=50K
18,10,20, <=50K
26,9,45, <=50K
49,15,37, >50K
29,13,48, <=50K
49,13,56, >50K
62,14,2, >50K
70,9,40, <=50K
25,9,40, <=50K
21,9,50, <=50K
24,9,48, <=50K
36,13,40, >50K
42,9,24, <=50K
29,12,60, <=50K
55,15,40, >50K
42,9,40, >50K
41,14,45, <=50K
27,9,60, >50K
19,10,40, <=50K
24,13,20, <=50K
27,13,24, >50K
46,10,55, <=50K
44,14,44, >50K
19,10,40, <=50K
31,15,50, >50K
27,13,40, <=50K
18,9,25, <=50K
25,9,48, <=50K
23,10,25, <=50K
44,8,40, <=50K
22,13,43, <=50K
63,13,36, >50K
35,8,30, <=50K
57,10,40, >50K
33,12,60, <=50K
21,10,15, <=50K
36,9,40, <=50K
44,9,40, <=50K
40,9,60, >50K
54,9,20, <=50K
53,9,40, <=50K
25,9,80, >50K
20,11,35, <=50K
27,10,40, >50K
38,13,40, <=50K
27,9,30, <=50K
69,9,10, <=50K
22,10,16, <=50K
29,12,50, <=50K
42,9,40, >50K
41,11,40, <=50K
56,10,20, >50K
45,9,40, <=50K
43,14,40, <=50K
25,13,40, <=50K
47,10,40, <=50K
45,9,38, >50K
35,12,60, <=50K
53,10,34, <=50K
33,13,45, <=50K
25,12,40, <=50K
31,12,40, <=50K
58,9,40, >50K
27,12,40, <=50K
29,6,40, <=50K
57,10,60, >50K
37,12,40, <=50K
39,9,40, >50K
37,3,40, <=50K
64,4,25, <=50K
34,14,40, <=50K
64,10,40, <=50K
32,9,40, <=50K
29,9,30, <=50K
54,9,20, <=50K
23,9,40, <=50K
42,9,40, <=50K
23,13,40, <=50K
19,10,30, <=50K
48,9,15, <=50K
33,13,40, >50K
46,10,42, <=50K
24,9,40, <=50K
35,10,40, <=50K
39,10,30, <=50K
41,13,40, >50K
60,9,40, >50K
42,10,38, <=50K
41,9,40, <=50K
32,13,50, <=50K
31,5,45, <=50K
45,13,40, >50K
27,9,40, <=50K
24,13,40, <=50K
47,14,55, >50K
64,7,40, <=50K
19,9,40, <=50K
43,13,40, >50K
19,10,24, <=50K
49,10,28, <=50K
45,9,40, <=50K
47,9,24, <=50K
50,10,40, >50K
21,10,40, <=50K
26,10,40, <=50K
19,8,40, <=50K
45,13,40, >50K
24,13,40, <=50K
50,10,40, <=50K
35,10,40, >50K
26,9,40, <=50K
31,13,50, <=50K
30,10,55, >50K
35,9,38, <=50K
41,9,40, >50K
57,9,35, <=50K
44,13,50, <=50K
57,9,40, <=50K
27,9,40, <=50K
32,9,40, <=50K
22,12,40, <=50K
54,9,45, <=50K
42,9,40, <=50K
28,9,55, <=50K
30,10,40, >50K
47,13,50, >50K
32,6,37, <=50K
37,12,25, <=50K
90,13,15, >50K
30,13,45, >50K
51,9,40, >50K
39,9,50, >50K
29,13,40, >50K
25,10,8, <=50K
50,9,50, >50K
26,10,40, <=50K
43,10,40, >50K
18,9,20, <=50K
80,4,30, <=50K
42,13,60, >50K
56,10,50, <=50K
26,9,48, <=50K
45,9,40, <=50K
17,7,16, <=50K
39,13,30, >50K
33,15,60, >50K
18,7,16, <=50K
39,9,40, >50K
27,9,45, <=50K
21,10,40, <=50K
53,14,50, <=50K
19,9,60, <=50K
38,10,40, <=50K
44,10,55, <=50K
40,9,25, <=50K
40,12,40, <=50K
18,6,40, <=50K
36,5,40, <=50K
25,9,40, <=50K
46,9,40, <=50K
39,9,40, <=50K
23,5,40, <=50K
55,13,40, <=50K
19,9,40, <=50K
42,9,40, <=50K
42,9,40, <=50K
59,4,99, <=50K
29,9,40, <=50K
47,13,50, <=50K
35,7,40, <=50K
20,10,30, <=50K
25,10,24, <=50K
36,13,55, <=50K
58,9,38, <=50K
63,9,40, <=50K
49,6,40, <=50K
21,9,22, <=50K
20,10,16, <=50K
74,9,17, <=50K
65,13,20, >50K
38,13,40, <=50K
20,9,30, <=50K
17,7,8, <=50K
23,5,35, <=50K
55,13,50, >50K
38,9,55, >50K
54,7,40, >50K
33,16,60, >50K
26,10,40, <=50K
25,9,40, <=50K
53,12,40, <=50K
53,9,60, >50K
19,9,20, <=50K
28,6,40, <=50K
32,12,36, <=50K
31,10,40, <=50K
35,6,50, <=50K
44,9,40, <=50K
73,9,36, <=50K
37,11,40, >50K
54,9,32, <=50K
40,12,40, >50K
34,10,40, >50K
32,11,50, <=50K
32,11,24, >50K
46,13,40, >50K
46,13,40, >50K
31,9,47, >50K
25,10,40, <=50K
45,10,42, <=50K
22,13,20, <=50K
41,10,55, <=50K
53,9,40, <=50K
41,13,45, >50K
28,12,40, >50K
22,10,40, <=50K
20,10,16, <=50K
38,6,40, >50K
57,10,40, <=50K
43,16,64, >50K
18,10,20, <=50K
65,4,25, <=50K
49,14,75, <=50K
60,6,40, <=50K
18,9,20, <=50K
19,10,16, <=50K
43,10,50, >50K
25,10,40, <=50K
46,13,40, <=50K
62,10,80, <=50K
40,10,40, >50K
54,10,40, <=50K
44,15,60, >50K
45,7,36, <=50K
28,10,60, <=50K
53,13,35, <=50K
34,10,40, <=50K
49,13,40, >50K
58,9,40, <=50K
19,10,40, <=50K
27,13,40, <=50K
42,11,40, <=50K
46,9,40, <=50K
49,14,40, <=50K
34,9,45, <=50K
63,14,50, >50K
36,9,50, <=50K
33,9,20, <=50K
46,13,40, >50K
18,9,20, <=50K
24,9,49, >50K
46,13,55, >50K
68,4,40, <=50K
26,12,40, <=50K
21,9,30, <=50K
20,10,20, <=50K
30,9,40, <=50K
42,9,40, <=50K
51,9,40, <=50K
59,12,40, <=50K
25,9,30, <=50K
51,9,40, <=50K
36,11,40, <=50K
30,9,40, <=50K
25,9,40, <=50K
42,10,40, <=50K
42,10,40, <=50K
27,9,40, <=50K
26,13,50, <=50K
33,9,40, <=50K
59,9,30, <=50K
22,9,40, <=50K
26,12,75, <=50K
47,13,50, <=50K
31,9,38, <=50K
52,14,40, <=50K
49,11,38, <=50K
22,8,30, <=50K
35,9,40, <=50K
47,10,40, >50K
43,10,44, <=50K
49,9,48, >50K
57,14,80, <=50K
21,10,30, <=50K
32,6,45, <=50K
21,9,40, <=50K
36,10,40, <=50K
22,13,40, <=50K
24,9,25, <=50K
36,9,50, >50K
62,4,40, <=50K
40,10,40, >50K
25,13,40, <=50K
25,9,40, <=50K
52,9,55, <=50K
48,9,44, <=50K
24,13,40, <=50K
31,13,40, >50K
46,10,40, >50K
50,14,40, <=50K
65,9,40, <=50K
17,6,15, <=50K
47,10,40, <=50K
28,10,50, <=50K
37,9,40, <=50K
23,13,40, <=50K
38,9,40, <=50K
66,13,15, >50K
25,9,75, <=50K
27,13,40, <=50K
40,13,80, <=50K
44,13,50, <=50K
23,10,35, <=50K
18,8,25, <=50K
24,13,60, <=50K
57,9,55, >50K
27,9,45, >50K
47,14,40, <=50K
32,9,20, <=50K
49,13,50, >50K
18,7,20, <=50K
64,14,2, <=50K
19,6,25, <=50K
59,14,60, <=50K
39,13,40, <=50K
42,10,45, >50K
17,6,40, <=50K
21,10,40, <=50K
28,13,50, >50K
30,13,72, >50K
28,9,40, <=50K
65,9,18, <=50K
29,9,40, <=50K
34,10,45, >50K
46,9,35, <=50K
42,10,40, >50K
31,5,35, <=50K
49,9,35, <=50K
28,9,40, <=50K
25,13,45, <=50K
57,10,38, <=50K
23,10,35, <=50K
23,9,32, <=50K
66,9,13, <=50K
23,13,40, <=50K
61,9,3, <=50K
38,13,45, >50K
26,10,40, <=50K
42,13,60, >50K
49,9,56, <=50K
33,9,60, <=50K
21,9,40, <=50K
40,9,40, <=50K
55,9,45, <=50K
28,10,60, <=50K
18,10,10, <=50K
58,9,50, <=50K
25,13,70, <=50K
45,9,40, <=50K
57,10,40, <=50K
55,10,37, <=50K
26,10,60, <=50K
51,13,25, <=50K
51,10,45, <=50K
23,9,30, <=50K
17,5,45, <=50K
30,10,40, <=50K
32,14,40, <=50K
34,9,40, <=50K
52,15,70, >50K
33,12,42, <=50K
40,10,45, >50K
38,9,40, <=50K
40,9,40, >50K
71,9,35, <=50K
30,13,40, <=50K
27,13,40, <=50K
18,10,30, <=50K
27,11,40, <=50K
58,13,40, >50K
42,13,40, >50K
17,7,10, <=50K
41,10,40, >50K
57,3,40, <=50K
50,16,60, >50K
49,12,40, >50K
25,13,40, >50K
28,9,40, <=50K
53,11,40, <=50K
21,10,20, <=50K
54,13,40, >50K
34,9,40, <=50K
37,9,40, >50K
47,9,40, <=50K
57,9,40, >50K
32,9,55, <=50K
39,10,99, <=50K
37,10,40, <=50K
19,9,36, <=50K
25,10,40, <=50K
59,9,40, <=50K
27,14,40, <=50K
43,14,40, >50K
35,9,20, <=50K
36,11,42, >50K
22,10,40, <=50K
24,10,35, <=50K
31,11,45, <=50K
38,13,40, <=50K
52,10,50, <=50K
50,13,40, >50K
43,10,40, <=50K
47,14,35, <=50K
33,9,94, <=50K
43,9,40, <=50K
32,9,40, <=50K
42,10,40, <=50K
25,9,40, <=50K
24,10,30, <=50K
41,9,40, <=50K
52,9,40, <=50K
56,13,50, >50K
34,12,65, <=50K
18,10,15, <=50K
43,13,35, >50K
33,13,40, <=50K
51,14,40, >50K
19,10,15, <=50K
67,10,40, <=50K
41,11,45, <=50K
44,13,80, <=50K
39,13,45, <=50K
17,7,18, <=50K
58,9,32, <=50K
51,13,50, >50K
32,9,45, <=50K
61,4,40, <=50K
44,9,40, <=50K
47,13,50, >50K
52,9,38, <=50K
24,9,40, <=50K
43,9,40, <=50K
37,10,44, >50K
52,9,40, <=50K
39,9,50, <=50K
31,10,45, <=50K
39,10,50, <=50K
22,10,40, <=50K
28,10,35, <=50K
42,13,40, <=50K
23,10,25, <=50K
36,9,40, <=50K
19,9,50, <=50K
39,15,50, >50K
33,10,40, <=50K
50,6,45, <=50K
62,13,40, <=50K
21,9,40, <=50K
24,11,35, <=50K
31,7,40, <=50K
34,9,48, <=50K
29,9,45, >50K
35,10,50, <=50K
69,10,24, <=50K
20,9,30, <=50K
30,7,40, <=50K
25,9,48, <=50K
33,9,40, <=50K
28,10,30, <=50K
46,10,40, <=50K
48,7,40, <=50K
44,13,40, >50K
29,9,44, <=50K
47,9,40, <=50K
30,10,50, >50K
63,9,25, <=50K
20,10,25, <=50K
65,10,40, <=50K
41,11,60, <=50K
39,16,50, >50K
36,10,40, <=50K
39,9,12, <=50K
19,7,25, <=50K
64,10,40, <=50K
62,12,50, <=50K
44,9,70, <=50K
29,10,40, <=50K
34,9,40, <=50K
31,9,40, >50K
39,11,37, <=50K
19,10,25, <=50K
57,13,40, >50K
29,13,45, >50K
19,9,60, <=50K
52,15,30, >50K
34,9,45, <=50K
22,11,40, <=50K
51,3,8, <=50K
37,14,45, >50K
50,14,65, >50K
68,9,8, <=50K
25,13,40, <=50K
40,13,40, >50K
33,10,40, <=50K
34,9,15, <=50K
59,11,40, <=50K
20,10,40, <=50K
52,14,60, >50K
22,13,30, <=50K
61,9,40, <=50K
40,9,35, >50K
45,13,50, >50K
20,9,40, <=50K
40,10,50, <=50K
47,11,45, >50K
58,9,36, <=50K
36,14,40, <=50K
56,9,40, <=50K
27,11,40, <=50K
60,12,24, <=50K
48,10,24, <=50K
32,14,50, <=50K
23,9,45, <=50K
24,9,40, <=50K
34,9,35, <=50K
49,10,40, <=50K
28,10,55, <=50K
24,10,40, <=50K
44,13,40, >50K
19,10,30, <=50K
23,10,35, <=50K
75,9,26, <=50K
32,9,40, <=50K
47,10,40, >50K
42,10,40, <=50K
82,4,2, <=50K
31,12,40, <=50K
21,9,25, <=50K
27,11,40, <=50K
52,9,48, <=50K
36,5,50, <=50K
58,9,40, <=50K
58,6,50, <=50K
31,13,40, <=50K
47,13,40, >50K
20,10,20, <=50K
23,10,40, <=50K
22,10,25, <=50K
29,9,55, <=50K
44,11,40, >50K
34,11,40, <=50K
19,7,40, <=50K
35,13,45, <=50K
32,12,50, >50K
32,9,40, <=50K
20,10,40, <=50K
44,9,60, <=50K
37,7,50, <=50K
60,10,55, <=50K
46,9,40, <=50K
58,10,37, <=50K
47,9,90, <=50K
76,4,40, <=50K
51,9,40, <=50K
52,9,40, >50K
18,9,28, <=50K
19,9,30, <=50K
43,13,40, <=50K
31,9,40, <=50K
21,10,25, <=50K
36,7,47, <=50K
49,9,60, <=50K
39,8,40, <=50K
49,9,80, <=50K
65,13,40, >50K
52,10,50, <=50K
23,13,55, <=50K
35,9,40, <=50K
37,13,30, <=50K
33,9,60, <=50K
19,10,30, <=50K
25,9,45, <=50K
20,10,30, <=50K
72,13,6, <=50K
34,13,50, <=50K
51,6,24, <=50K
24,7,40, <=50K
51,11,38, >50K
38,13,38, <=50K
30,9,50, >50K
21,9,40, <=50K
24,9,40, <=50K
29,13,50, <=50K
20,10,30, <=50K
41,10,40, <=50K
27,9,80, >50K
55,6,40, <=50K
52,10,40, <=50K
39,10,40, <=50K
26,10,40, <=50K
74,9,30, >50K
49,9,40, <=50K
29,10,35, <=50K
42,11,40, <=50K
72,6,15, <=50K
29,13,75, <=50K
60,13,40, >50K
40,15,55, >50K
39,13,40, <=50K
46,10,60, <=50K
37,9,60, >50K
34,9,60, <=50K
65,15,60, <=50K
49,9,40, <=50K
58,9,10, >50K
26,8,40, <=50K
61,9,40, <=50K
47,13,38, >50K
18,10,20, <=50K
57,8,40, <=50K
56,13,32, <=50K
45,14,45, >50K
21,9,20, <=50K
19,7,25, <=50K
24,9,40, <=50K
39,9,70, <=50K
58,4,24, <=50K
56,15,50, >50K
22,10,20, <=50K
65,9,30, <=50K
71,10,10, <=50K
21,11,30, <=50K
31,9,40, >50K
42,13,70, <=50K
55,14,60, >50K
29,10,40, <=50K
46,10,36, <=50K
60,9,40, >50K
35,9,50, <=50K
64,10,35, <=50K
49,10,44, >50K
19,9,40, <=50K
35,9,55, <=50K
57,10,38, >50K
67,10,10, >50K
35,10,40, <=50K
26,9,40, <=50K
32,9,46, <=50K
20,10,16, <=50K
46,9,40, >50K
42,13,40, <=50K
44,12,40, <=50K
58,11,40, <=50K
22,13,40, <=50K
37,9,48, <=50K
35,9,60, <=50K
28,13,35, <=50K
59,9,40, <=50K
29,11,40, >50K
53,10,40, >50K
19,9,20, <=50K
18,6,30, <=50K
54,1,60, <=50K
40,9,40, <=50K
43,12,40, <=50K
42,9,45, >50K
24,13,30, <=50K
38,15,70, >50K
20,10,12, <=50K
37,13,40, <=50K
31,9,40, <=50K
50,9,65, >50K
50,10,35, >50K
24,10,40, <=50K
21,10,20, <=50K
17,7,30, <=50K
43,9,40, <=50K
18,7,25, <=50K
24,9,25, <=50K
31,13,40, >50K
26,13,40, >50K
38,12,40, >50K
39,10,80, <=50K
25,5,40, <=50K
41,8,10, <=50K
61,9,50, <=50K
55,10,40, <=50K
45,9,50, >50K
30,13,99, <=50K
35,10,40, <=50K
46,11,50, <=50K
41,13,38, >50K
31,9,40, <=50K
44,16,36, >50K
60,12,35, >50K
41,9,50, <=50K
31,11,38, <=50K
77,10,40, <=50K
39,13,45, >50K
27,10,40, >50K
66,11,30, <=50K
60,9,40, <=50K
19,7,15, <=50K
33,13,40, <=50K
33,13,40, <=50K
28,13,45, <=50K
42,13,38, >50K
27,9,40, <=50K
39,13,35, <=50K
36,10,38, <=50K
26,13,40, <=50K
27,13,40, <=50K
38,9,20, <=50K
39,13,40, <=50K
38,9,50, <=50K
35,10,48, <=50K
25,11,30, <=50K
46,9,40, <=50K
58,3,40, <=50K
27,11,35, <=50K
22,9,15, <=50K
59,6,40, <=50K
20,9,60, <=50K
25,13,65, <=50K
44,13,40, >50K
36,9,40, <=50K
23,7,50, <=50K
18,8,30, <=50K
48,9,40, >50K
65,7,15, <=50K
55,10,40, <=50K
37,10,40, <=50K
68,9,40, <=50K
31,10,45, <=50K
22,9,40, <=50K
34,9,20, >50K
23,9,50, <=50K
24,9,40, <=50K
19,8,30, <=50K
28,12,70, >50K
28,9,40, <=50K
34,9,50, <=50K
33,13,45, <=50K
41,10,40, >50K
22,4,40, <=50K
42,9,43, >50K
21,10,40, <=50K
49,10,50, >50K
31,13,60, >50K
81,9,20, <=50K
17,7,16, <=50K
29,10,36, <=50K
48,9,40, <=50K
50,9,40, <=50K
17,6,35, <=50K
23,13,40, <=50K
68,10,40, <=50K
31,10,50, <=50K
40,16,30, >50K
19,9,40, <=50K
55,14,55, >50K
24,13,50, <=50K
45,13,37, <=50K
43,14,40, >50K
36,9,30, <=50K
22,10,40, <=50K
34,13,60, >50K
63,9,40, <=50K
65,13,40, <=50K
50,13,40, >50K
56,10,35, <=50K
26,12,45, >50K
44,7,44, <=50K
43,6,40, <=50K
17,5,40, <=50K
47,10,35, <=50K
73,3,20, <=50K
33,15,50, >50K
39,12,60, >50K
31,13,36, <=50K
38,13,60, >50K
32,12,40, >50K
48,16,40, >50K
32,13,40, <=50K
56,10,40, <=50K
30,13,60, <=50K
36,13,50, <=50K
51,13,40, >50K
42,3,35, <=50K
41,3,40, <=50K
42,2,40, <=50K
39,2,45, <=50K
33,15,65, >50K
46,9,45, <=50K
68,16,50, <=50K
33,10,66, <=50K
27,9,40, <=50K
56,9,40, <=50K
46,13,45, >50K
26,9,60, <=50K
29,4,40, <=50K
58,6,35, >50K
42,14,40, >50K
42,8,60, >50K
57,4,45, <=50K
20,10,40, <=50K
21,1,50, <=50K
29,9,40, >50K
28,13,45, <=50K
23,6,40, <=50K
24,13,40, <=50K
50,6,47, <=50K
49,5,40, <=50K
26,9,80, >50K
49,10,60, >50K
41,10,24, <=50K
45,13,40, <=50K
31,3,25, <=50K
41,9,40, <=50K
52,7,40, <=50K
37,11,40, <=50K
33,9,40, <=50K
55,16,70, >50K
38,9,40, <=50K
34,13,40, >50K
37,5,16, <=50K
46,6,25, <=50K
30,15,40, <=50K
43,16,40, <=50K
27,10,45, <=50K
42,9,35, <=50K
23,10,24, <=50K
28,7,40, <=50K
33,9,35, <=50K
21,9,40, <=50K
23,9,40, <=50K
24,10,60, <=50K
25,6,40, <=50K
58,9,40, <=50K
43,13,35, >50K
23,6,60, <=50K
22,10,30, <=50K
48,14,40, >50K
51,7,40, <=50K
26,14,40, <=50K
36,9,40, <=50K
42,15,40, >50K
32,10,40, <=50K
57,3,40, <=50K
56,9,35, <=50K
30,10,40, <=50K
30,14,60, >50K
57,2,35, <=50K
51,9,32, <=50K
22,9,30, <=50K
60,4,40, <=50K
34,10,40, >50K
