age,education-num,hours-per-week,income
36,9,40, <=50K
52,9,40, <=50K
43,13,40, <=50K
42,15,60, <=50K
54,10,40, >50K
59,13,50, >50K
44,15,32, >50K
30,7,40, <=50K
52,2,50, <=50K
50,14,40, >50K
25,7,40, <=50K
26,9,40, <=50K
23,9,53, <=50K
46,13,48, <=50K
35,5,40, <=50K
25,9,40, <=50K
21,10,30, <=50K
43,10,99, <=50K
30,10,40, <=50K
44,13,40, <=50K
45,10,50, <=50K
30,10,45, <=50K
26,13,58, >50K
33,9,40, <=50K
38,9,40, <=50K
47,9,40, <=50K
52,10,50, <=50K
23,12,40, <=50K
23,9,48, <=50K
24,10,40, <=50K
61,14,60, >50K
66,10,40, >50K
25,9,35, <=50K
38,13,99, <=50K
53,9,45, <=50K
65,10,27, <=50K
38,9,40, <=50K
26,9,40, <=50K
31,10,40, >50K
26,9,60, <=50K
51,10,60, >50K
41,14,40, >50K
52,13,60, <=50K
41,9,55, <=50K
45,13,50, >50K
41,7,40, <=50K
59,6,40, <=50K
34,6,40, <=50K
21,8,20, <=50K
43,12,50, <=50K
31,9,40, <=50K
30,11,35, <=50K
20,9,48, <=50K
34,13,65, >50K
43,13,45, <=50K
61,6,55, <=50K
66,7,40, <=50K
51,14,40, <=50K
55,14,50, <=50K
35,9,45, <=50K
36,13,60, >50K
31,8,43, <=50K
34,9,45, <=50K
34,9,40, <=50K
26,9,40, <=50K
22,10,36, <=50K
35,9,40, <=50K
64,14,50, <=50K
28,11,40, <=50K
23,9,40, <=50K
41,15,50, >50K
24,9,40, <=50K
25,13,30, <=50K
40,10,40, <=50K
17,6,30, <=50K
31,13,35, <=50K
29,9,40, <=50K
33,10,50, >50K
30,14,50, >50K
47,14,40, >50K
55,4,50, <=50K
35,13,55, >50K
35,4,40, <=50K
34,10,40, >50K
27,9,40, <=50K
26,8,40, <=50K
38,12,40, <=50K
34,10,64, >50K
64,9,35, >50K
30,9,40, <=50K
54,9,41, <=50K
60,10,60, <=50K
31,9,40, <=50K
43,10,70, >50K
61,3,40, <=50K
41,9,40, <=50K
24,9,40, <=50K
41,13,30, <=50K
33,9,40, <=50K
27,13,42, >50K
27,10,48, <=50K
26,13,50, <=50K
32,9,60, >50K
77,10,8, <=50K
38,10,40, >50K
45,9,40, <=50K
21,3,40, <=50K
58,10,60, >50K
62,5,40, <=50K
35,9,30, <=50K
30,13,40, >50K
58,14,18, <=50K
22,3,48, <=50K
24,10,20, <=50K
35,4,40, <=50K
39,13,40, >50K
65,7,35, >50K
39,13,60, <=50K
40,14,50, >50K
50,4,40, <=50K
44,10,40, <=50K
43,13,45, >50K
33,11,40, <=50K
20,9,35, <=50K
41,7,55, <=50K
21,10,35, <=50K
21,6,25, <=50K
35,14,50, >50K
53,9,40, >50K
90,9,99, <=50K
56,10,40, <=50K
58,8,40, <=50K
50,10,22, <=50K
58,7,48, <=50K
23,7,40, <=50K
31,13,97, >50K
45,10,40, <=50K
32,10,50, >50K
32,9,40, >50K
65,13,65, >50K
43,9,40, >50K
45,9,40, <=50K
61,9,40, <=50K
21,10,10, <=50K
24,10,40, <=50K
34,13,50, >50K
48,9,40, >50K
43,9,60, <=50K
17,8,16, <=50K
46,9,40, <=50K
23,10,40, <=50K
49,10,45, <=50K
28,10,40, >50K
67,13,16, <=50K
42,9,40, >50K
30,14,40, <=50K
45,13,40, <=50K
30,12,40, <=50K
24,12,48, <=50K
25,9,40, <=50K
31,11,40, <=50K
38,9,40, >50K
18,9,10, <=50K
48,10,53, <=50K
29,10,60, <=50K
57,10,55, <=50K
59,13,30, <=50K
31,13,40, <=50K
53,15,60, >50K
24,10,50, >50K
44,13,44, >50K
19,10,25, <=50K
44,13,40, <=50K
32,9,40, <=50K
40,16,40, >50K
56,4,40, <=50K
24,13,55, <=50K
59,13,38, <=50K
34,9,40, <=50K
47,9,45, >50K
19,6,25, <=50K
64,14,2, <=50K
39,9,40, <=50K
30,9,40, <=50K
42,13,45, >50K
38,15,99, >50K
53,4,99, <=50K
61,15,20, >50K
22,10,40, <=50K
25,8,40, >50K
34,9,45, >50K
36,9,50, <=50K
61,11,60, >50K
30,10,70, <=50K
37,13,35, >50K
40,14,50, >50K
29,13,40, <=50K
26,9,40, <=50K
51,12,45, >50K
34,11,45, >50K
44,13,40, >50K
63,10,16, <=50K
37,9,40, <=50K
49,9,40, <=50K
55,6,45, <=50K
24,7,40, <=50K
34,6,40, <=50K
23,10,40, <=50K
45,10,45, <=50K
38,9,40, <=50K
36,13,40, <=50K
30,10,84, <=50K
31,9,40, <=50K
29,9,40, <=50K
32,13,50, >50K
21,9,40, <=50K
61,13,50, >50K
27,13,45, <=50K
64,8,24, <=50K
47,9,48, <=50K
47,13,40, <=50K
55,10,40, <=50K
28,9,35, <=50K
33,9,50, <=50K
37,13,60, >50K
27,13,9, <=50K
28,9,40, <=50K
57,9,40, <=50K
68,6,20, <=50K
47,15,60, >50K
19,10,50, <=50K
66,4,48, <=50K
49,14,40, >50K
45,13,37, <=50K
37,13,40, >50K
47,10,20, <=50K
30,4,40, <=50K
19,2,40, <=50K
75,10,13, <=50K
34,7,50, <=50K
28,10,60, <=50K
59,5,40, <=50K
54,11,40, >50K
44,10,40, >50K
38,10,58, <=50K
19,9,16, <=50K
36,4,35, <=50K
35,10,60, <=50K
54,9,50, <=50K
37,13,38, <=50K
32,14,40, >50K
33,9,50, >50K
50,9,40, >50K
42,9,50, <=50K
55,9,40, <=50K
32,10,50, <=50K
43,10,50, <=50K
29,9,40, <=50K
61,15,50, >50K
39,14,40, >50K
40,7,35, <=50K
63,9,40, <=50K
61,16,25, >50K
48,3,40, <=50K
32,10,40, <=50K
25,3,40, <=50K
19,10,20, <=50K
25,10,40, <=50K
29,9,25, <=50K
74,9,15, <=50K
18,9,40, <=50K
32,13,45, <=50K
19,6,39, <=50K
63,6,45, <=50K
27,13,12, <=50K
21,10,30, <=50K
54,10,40, >50K
47,13,50, <=50K
34,9,40, <=50K
53,13,50, >50K
45,12,40, <=50K
27,11,40, <=50K
30,10,40, <=50K
26,9,40, <=50K
38,10,50, <=50K
35,9,40, >50K
55,13,35, <=50K
19,9,40, <=50K
63,4,60, >50K
45,13,40, >50K
38,5,40, <=50K
48,13,45, >50K
34,16,60, >50K
49,10,40, <=50K
29,9,48, <=50K
21,5,30, <=50K
38,9,50, <=50K
28,6,40, <=50K
38,13,40, <=50K
29,10,40, <=50K
31,1,24, <=50K
56,6,40, <=50K
40,10,50, <=50K
42,14,60, <=50K
67,9,24, <=50K
49,9,40, >50K
40,9,40, >50K
37,10,50, <=50K
25,13,35, <=50K
35,13,40, >50K
60,13,40, >50K
48,14,40, <=50K
51,9,40, <=50K
34,10,60, <=50K
54,1,40, <=50K
46,4,40, <=50K
45,10,40, >50K
23,13,40, <=50K
37,7,25, <=50K
37,9,40, >50K
63,4,40, <=50K
47,13,60, <=50K
43,9,45, <=50K
44,13,50, <=50K
60,13,60, <=50K
58,5,50, >50K
31,9,40, >50K
61,9,35, >50K
54,11,38, >50K
36,10,45, <=50K
32,10,50, >50K
53,9,40, >50K
26,6,55, <=50K
65,9,20, <=50K
46,10,45, >50K
47,9,40, >50K
30,10,70, <=50K
27,5,30, <=50K
41,9,40, <=50K
28,9,40, <=50K
41,9,40, <=50K
52,16,40, >50K
41,9,50, >50K
49,13,40, >50K
21,9,60, <=50K
27,9,40, <=50K
17,8,15, <=50K
33,10,26, <=50K
60,10,40, <=50K
32,9,62, <=50K
22,10,40, <=50K
46,9,50, <=50K
25,10,40, <=50K
46,9,48, >50K
31,7,65, <=50K
26,10,42, <=50K
39,13,40, >50K
37,4,40, <=50K
39,9,40, <=50K
22,10,25, <=50K
33,12,40, <=50K
51,12,40, <=50K
34,15,50, <=50K
73,7,40, <=50K
56,13,40, >50K
43,13,40, >50K
37,9,40, <=50K
34,13,60, >50K
46,9,40, <=50K
40,3,40, <=50K
33,12,40, <=50K
39,16,40, >50K
32,13,40, <=50K
33,10,12, <=50K
35,9,40, <=50K
27,11,50, <=50K
18,8,20, <=50K
38,9,40, >50K
65,9,50, <=50K
35,9,40, <=50K
54,13,55, >50K
18,7,16, <=50K
35,10,40, <=50K
22,10,10, <=50K
31,9,40, <=50K
26,13,40, <=50K
56,9,40, >50K
53,11,40, >50K
39,6,60, >50K
46,13,40, >50K
82,10,20, <=50K
27,7,40, <=50K
23,13,40, <=50K
35,9,40, <=50K
25,10,44, >50K
48,15,35, >50K
33,11,55, <=50K
26,9,48, <=50K
39,10,60, >50K
51,14,40, >50K
18,7,10, <=50K
19,9,24, <=50K
23,13,40, <=50K
55,9,50, >50K
42,13,55, >50K
49,13,40, <=50K
27,10,20, <=50K
55,14,40, >50K
36,16,30, >50K
58,13,40, >50K
37,9,45, >50K
23,9,12, <=50K
63,14,50, >50K
35,10,50, <=50K
44,9,30, <=50K
50,13,45, >50K
19,10,20, <=50K
28,9,48, <=50K
38,9,50, >50K
17,7,20, <=50K
47,12,50, >50K
24,9,40, <=50K
32,9,48, <=50K
42,11,50, <=50K
44,13,60, >50K
52,12,40, >50K
49,11,40, <=50K
54,14,40, >50K
48,10,65, <=50K
64,7,40, >50K
64,16,80, >50K
68,16,60, >50K
58,6,40, <=50K
30,9,40, <=50K
32,10,40, <=50K
46,9,40, <=50K
51,13,40, >50K
31,9,20, <=50K
61,7,20, <=50K
25,14,35, <=50K
36,2,40, <=50K
32,12,20, <=50K
63,6,50, <=50K
32,13,50, >50K
36,14,40, >50K
31,13,50, >50K
33,7,40, <=50K
48,14,40, >50K
40,16,60, >50K
44,15,80, >50K
28,9,40, <=50K
43,14,45, >50K
40,13,40, >50K
42,5,40, <=50K
71,10,40, >50K
24,3,40, <=50K
35,11,50, <=50K
58,9,40, <=50K
32,9,40, >50K
29,9,40, >50K
55,14,40, >50K
40,12,40, >50K
51,13,26, <=50K
58,10,40, >50K
33,9,35, <=50K
36,9,50, >50K
33,9,36, <=50K
53,10,40, <=50K
43,3,35, <=50K
41,9,40, <=50K
49,3,40, <=50K
71,14,40, >50K
52,14,40, <=50K
22,5,40, <=50K
37,10,60, <=50K
42,10,40, >50K
63,13,40, <=50K
36,9,25, >50K
46,10,40, <=50K
65,16,40, >50K
63,9,35, <=50K
40,9,40, >50K
31,9,50, >50K
51,9,40, <=50K
28,3,25, <=50K
36,9,40, <=50K
40,15,45, >50K
29,13,40, <=50K
31,14,40, >50K
28,9,40, <=50K
40,14,40, >50K
41,13,56, <=50K
17,7,20, <=50K
50,13,40, >50K
24,10,45, <=50K
49,15,85, >50K
39,13,60, >50K
38,9,60, <=50K
27,7,40, <=50K
33,12,60, <=50K
51,9,40, <=50K
27,9,40, <=50K
44,9,45, >50K
43,10,48, >50K
34,13,40, >50K
61,11,40, >50K
32,11,40, <=50K
18,9,40, <=50K
48,9,40, >50K
37,3,40, <=50K
47,10,40, <=50K
33,13,45, >50K
57,9,40, <=50K
58,13,40, >50K
49,14,50, >50K
28,9,60, <=50K
33,9,40, <=50K
29,10,40, >50K
22,9,40, <=50K
26,10,55, >50K
23,10,40, <=50K
42,9,40, <=50K
26,13,50, <=50K
18,8,14, <=50K
19,9,30, <=50K
19,9,35, <=50K
40,11,40, >50K
40,10,60, <=50K
32,9,40, <=50K
45,10,45, <=50K
25,13,43, <=50K
44,9,40, <=50K
30,9,40, <=50K
39,13,45, <=50K
46,9,58, >50K
21,9,40, <=50K
51,10,50, >50K
55,9,60, >50K
22,9,40, <=50K
47,9,40, >50K
49,10,32, <=50K
42,10,60, <=50K
26,10,45, <=50K
34,10,50, <=50K
20,8,40, <=50K
50,13,40, >50K
47,9,40, <=50K
40,9,45, >50K
30,13,40, >50K
51,15,60, >50K
38,10,80, >50K
61,5,65, <=50K
43,10,15, >50K
44,14,24, <=50K
50,9,58, <=50K
18,9,35, <=50K
52,9,44, <=50K
25,13,40, <=50K
46,11,40, <=50K
47,3,40, <=50K
36,9,40, >50K
39,7,35, <=50K
63,13,8, >50K
32,9,40, <=50K
26,9,40, <=50K
42,9,50, <=50K
23,10,40, <=50K
23,13,30, <=50K
31,13,40, >50K
67,13,60, >50K
63,9,25, <=50K
46,9,40, <=50K
54,11,40, <=50K
36,16,50, <=50K
43,10,50, >50K
56,10,40, >50K
44,10,40, >50K
23,13,55, <=50K
24,11,40, <=50K
24,10,40, <=50K
17,7,20, <=50K
46,10,40, <=50K
53,14,70, >50K
43,8,40, <=50K
30,10,40, >50K
57,10,40, <=50K
63,6,40, <=50K
32,9,50, <=50K
22,10,22, <=50K
44,11,40, >50K
34,9,40, >50K
33,11,40, <=50K
49,13,50, >50K
23,4,36, <=50K
30,7,45, <=50K
38,14,40, >50K
41,9,25, <=50K
37,13,65, >50K
20,9,32, <=50K
32,4,40, <=50K
19,9,30, <=50K
41,10,50, >50K
36,13,40, <=50K
35,13,50, >50K
25,9,50, <=50K
28,5,50, <=50K
36,10,40, <=50K
35,13,65, >50K
31,9,43, >50K
90,4,40, <=50K
23,9,40, <=50K
73,13,15, <=50K
29,13,40, <=50K
48,10,30, <=50K
41,10,50, <=50K
30,14,60, >50K
38,9,40, <=50K
41,10,40, <=50K
46,10,40, >50K
22,5,40, <=50K
51,7,40, >50K
65,14,28, <=50K
46,6,40, <=50K
41,9,40, <=50K
23,9,30, <=50K
35,9,40, <=50K
32,9,35, <=50K
40,7,55, <=50K
44,14,35, >50K
65,6,40, <=50K
28,11,40, >50K
28,2,77, <=50K
23,9,35, <=50K
36,6,40, <=50K
53,9,40, <=50K
40,12,40, >50K
52,9,38, <=50K
48,10,40, >50K
23,10,30, <=50K
73,13,30, <=50K
27,10,45, <=50K
35,9,50, <=50K
30,11,50, >50K
26,9,60, <=50K
30,9,40, <=50K
44,14,40, >50K
68,4,40, <=50K
31,11,30, >50K
56,13,50, >50K
34,9,30, <=50K
34,10,55, >50K
59,9,48, <=50K
35,9,40, <=50K
27,13,55, >50K
46,7,40, >50K
30,13,60, <=50K
34,13,40, >50K
43,14,40, <=50K
49,10,40, >50K
43,4,40, <=50K
54,13,50, >50K
18,8,10, <=50K
27,10,60, <=50K
41,9,40, <=50K
23,10,40, <=50K
33,10,20, <=50K
31,9,40, <=50K
51,10,8, >50K
27,9,60, <=50K
25,13,40, >50K
32,9,50, <=50K
33,10,40, >50K
42,9,40, <=50K
43,9,40, >50K
27,14,40, <=50K
54,10,40, <=50K
37,15,40, <=50K
48,9,36, <=50K
46,15,40, >50K
74,9,30, >50K
38,14,70, >50K
23,13,55, <=50K
34,13,50, >50K
37,11,40, <=50K
32,10,50, >50K
40,12,50, >50K
45,13,40, <=50K
33,12,36, <=50K
27,10,45, <=50K
29,10,40, >50K
20,10,40, <=50K
47,9,50, >50K
51,10,40, >50K
47,9,40, >50K
48,4,40, <=50K
17,7,20, <=50K
56,9,40, <=50K
61,7,40, >50K
18,7,20, <=50K
55,13,60, >50K
20,9,40, <=50K
32,11,40, <=50K
52,15,70, >50K
35,9,40, <=50K
39,11,48, >50K
18,6,20, <=50K
39,14,45, >50K
30,11,40, <=50K
52,10,45, >50K
23,9,40, <=50K
33,5,50, <=50K
42,13,33, <=50K
50,9,45, <=50K
74,2,20, <=50K
37,9,35, >50K
50,9,40, <=50K
38,14,45, >50K
25,13,40, <=50K
26,13,40, >50K
47,9,40, >50K
40,13,40, >50K
41,9,55, >50K
22,13,40, <=50K
20,10,40, <=50K
43,13,40, >50K
45,14,50, >50K
24,10,30, <=50K
24,10,30, >50K
17,7,40, <=50K
21,9,40, <=50K
42,4,35, <=50K
70,15,35, >50K
35,14,45, >50K
26,9,40, <=50K
84,3,15, <=50K
76,5,25, <=50K
24,9,40, <=50K
36,13,50, <=50K
56,10,40, <=50K
31,11,40, <=50K
42,9,40, >50K
37,10,40, >50K
26,9,40, <=50K
34,15,55, >50K
27,10,40, >50K
51,9,40, >50K
19,10,40, <=50K
27,9,8, <=50K
34,9,25, <=50K
38,9,40, <=50K
17,5,20, <=50K
40,9,30, <=50K
33,10,32, <=50K
52,9,14, <=50K
50,12,40, <=50K
61,9,40, <=50K
59,9,60, <=50K
38,5,40, <=50K
25,9,40, <=50K
40,10,40, <=50K
37,13,40, <=50K
31,16,40, >50K
48,12,40, >50K
39,10,65, <=50K
54,10,40, <=50K
44,9,60, <=50K
36,10,50, >50K
33,7,50, <=50K
20,10,35, <=50K
28,9,40, <=50K
60,4,40, <=50K
32,10,60, <=50K
18,10,4, <=50K
55,13,40, >50K
24,9,50, <=50K
34,14,40, <=50K
47,11,40, >50K
39,9,40, >50K
35,9,40, <=50K
23,6,40, <=50K
18,8,40, <=50K
39,9,55, <=50K
50,13,50, >50K
57,10,40, <=50K
54,9,40, >50K
21,9,45, <=50K
31,9,40, <=50K
34,9,40, <=50K
30,5,40, <=50K
29,13,45, >50K
80,4,20, <=50K
27,9,43, <=50K
20,10,40, <=50K
19,6,40, <=50K
21,10,40, <=50K
36,13,35, >50K
28,8,40, <=50K
39,13,40, <=50K
44,13,48, >50K
40,13,40, >50K
21,10,30, <=50K
43,9,40, <=50K
21,11,40, <=50K
22,10,40, <=50K
25,9,40, <=50K
32,11,45, >50K
42,9,40, >50K
35,9,40, <=50K
29,13,42, >50K
23,6,40, <=50K
39,9,40, <=50K
42,10,60, <=50K
30,9,40, <=50K
62,4,20, <=50K
23,13,66, <=50K
25,7,40, >50K
36,9,40, <=50K
53,9,45, <=50K
39,13,40, <=50K
19,9,40, <=50K
46,9,80, >50K
18,7,15, <=50K
22,7,50, <=50K
30,6,40, <=50K
27,9,40, <=50K
52,9,60, >50K
61,5,40, <=50K
37,12,40, >50K
29,9,40, <=50K
21,10,25, <=50K
52,9,38, <=50K
34,10,40, >50K
43,8,40, <=50K
43,13,50, <=50K
28,10,50, >50K
26,10,35, <=50K
36,13,40, >50K
28,10,24, <=50K
29,9,40, <=50K
62,10,40, <=50K
38,9,40, <=50K
67,4,40, <=50K
57,9,40, >50K
44,9,40, <=50K
39,11,60, >50K
33,13,25, >50K
64,9,25, <=50K
48,10,40, <=50K
24,9,45, <=50K
33,10,40, <=50K
27,9,40, <=50K
49,13,60, >50K
27,6,30, <=50K
41,6,30, <=50K
34,10,45, <=50K
44,13,40, <=50K
27,9,38, <=50K
37,9,50, <=50K
56,10,60, <=50K
39,14,40, >50K
42,10,40, <=50K
41,9,8, <=50K
39,14,40, <=50K
59,9,30, >50K
31,13,50, <=50K
45,13,40, >50K
29,14,20, <=50K
24,13,50, <=50K
26,10,40, <=50K
37,9,40, <=50K
41,14,40, >50K
40,9,40, <=50K
31,9,40, <=50K
27,13,35, <=50K
21,9,40, <=50K
41,9,40, <=50K
58,9,40, <=50K
41,10,55, <=50K
35,9,50, <=50K
31,6,40, <=50K
56,9,36, >50K
58,9,40, >50K
18,10,15, <=50K
28,13,21, <=50K
46,9,40, <=50K
40,6,40, <=50K
37,4,60, <=50K
40,10,40, <=50K
52,9,40, <=50K
23,10,40, <=50K
22,9,50, <=50K
70,7,40, <=50K
61,9,6, <=50K
37,9,48, >50K
37,7,40, <=50K
41,13,42, >50K
38,9,40, <=50K
27,10,30, <=50K
23,9,40, <=50K
37,14,40, <=50K
53,9,40, <=50K
58,10,40, >50K
32,10,40, <=50K
21,10,40, <=50K
40,13,50, <=50K
25,3,40, <=50K
36,13,45, >50K
52,9,22, <=50K
66,13,40, >50K
28,13,40, >50K
67,14,2, >50K
24,10,20, <=50K
65,11,20, <=50K
25,10,35, <=50K
47,10,65, >50K
30,9,55, <=50K
52,9,48, <=50K
42,9,48, <=50K
33,10,4, <=50K
39,11,40, <=50K
21,10,40, <=50K
24,12,40, <=50K
63,13,45, <=50K
19,9,60, <=50K
20,9,45, <=50K
43,10,50, >50K
51,10,40, >50K
51,14,40, >50K
32,9,50, <=50K
29,9,50, <=50K
41,13,20, <=50K
39,14,45, >50K
42,13,50, <=50K
38,13,40, <=50K
59,4,40, <=50K
51,14,40, <=50K
27,9,40, <=50K
55,9,40, <=50K
45,10,40, <=50K
31,6,40, <=50K
20,10,24, <=50K
24,13,40, <=50K
52,2,40, <=50K
56,4,48, <=50K
32,9,40, <=50K
59,5,60, >50K
19,9,30, <=50K
27,9,40, <=50K
24,10,50, <=50K
19,10,16, <=50K
33,12,50, >50K
22,13,55, >50K
57,15,30, >50K
47,13,60, <=50K
55,11,45, <=50K
63,6,40, <=50K
24,10,40, <=50K
44,12,48, <=50K
46,10,40, <=50K
43,11,50, <=50K
24,13,40, <=50K
43,9,35, >50K
52,9,55, >50K
50,9,32, <=50K
18,9,25, <=50K
43,14,40, >50K
29,11,40, <=50K
34,13,45, >50K
20,9,40, <=50K
43,9,20, <=50K
60,14,40, >50K
40,14,40, >50K
20,10,15, <=50K
50,11,40, <=50K
29,10,37, <=50K
61,6,50, >50K
27,9,40, <=50K
51,9,40, >50K
54,9,45, <=50K
22,9,20, <=50K
42,10,40, <=50K
46,7,43, <=50K
36,15,45, >50K
48,13,6, <=50K
36,10,55, >50K
24,9,40, <=50K
22,8,35, <=50K
26,10,40, <=50K
68,13,35, >50K
40,10,30, >50K
34,9,70, <=50K
59,10,43, >50K
42,15,60, >50K
38,3,40, <=50K
34,9,80, <=50K
46,13,55, <=50K
39,13,40, <=50K
49,13,50, >50K
40,9,40, <=50K
57,13,40, >50K
59,13,60, >50K
38,9,35, <=50K
32,13,43, >50K
32,10,40, <=50K
38,9,45, <=50K
49,15,35, >50K
35,7,40, <=50K
23,9,40, <=50K
28,13,50, <=50K
25,12,40, <=50K
31,9,40, <=50K
56,3,40, <=50K
52,13,50, <=50K
52,10,35, <=50K
43,13,40, >50K
46,9,50, <=50K
32,10,30, <=50K
28,15,99, <=50K
45,13,60, >50K
22,10,20, <=50K
29,13,64, >50K
32,9,20, >50K
31,9,40, >50K
50,10,40, <=50K
59,3,40, <=50K
26,13,40, <=50K
20,9,25, <=50K
35,14,48, <=50K
19,8,25, <=50K
55,10,40, >50K
26,9,40, <=50K
30,11,40, <=50K
31,6,38, <=50K
34,9,10, <=50K
49,9,98, <=50K
21,10,55, <=50K
30,10,45, <=50K
47,13,40, <=50K
22,10,48, >50K
44,14,50, >50K
42,14,50, >50K
47,13,40, >50K
31,12,40, <=50K
30,10,40, <=50K
42,13,45, >50K
26,9,60, <=50K
59,9,40, >50K
19,10,40, <=50K
18,10,10, <=50K
36,13,50, <=50K
68,10,15, <=50K
45,9,50, <=50K
24,10,55, <=50K
28,8,40, <=50K
37,11,40, >50K
38,6,45, <=50K
27,10,40, <=50K
59,9,40, <=50K
62,15,16, <=50K
37,12,40, >50K
35,13,80, <=50K
21,10,40, <=50K
24,10,70, >50K
55,6,40, <=50K
44,10,40, <=50K
24,13,20, <=50K
46,14,50, >50K
39,13,40, >50K
30,13,40, <=50K
32,13,40, >50K
36,13,40, <=50K
36,9,40, <=50K
62,9,40, >50K
34,9,60, <=50K
41,13,40, >50K
40,9,35, <=50K
71,1,10, <=50K
17,8,7, <=50K
31,12,50, >50K
25,12,50, >50K
26,13,40, <=50K
20,6,40, <=50K
59,14,50, >50K
34,13,40, <=50K
55,9,40, <=50K
50,9,40, <=50K
54,9,40, >50K
36,10,40, >50K
20,10,30, <=50K
37,10,60, <=50K
35,10,60, >50K
36,9,40, <=50K
47,13,65, <=50K
42,15,65, >50K
28,12,40, <=50K
31,13,38, <=50K
28,10,40, <=50K
51,10,20, <=50K
66,14,6, <=50K
20,7,15, <=50K
59,13,55, >50K
48,14,50, <=50K
44,10,50, >50K
80,12,4, <=50K
59,10,40, >50K
28,13,40, <=50K
41,11,40, <=50K
41,14,40, <=50K
56,4,40, <=50K
